Word	Lowest_AoA	Highest_AoA	All_Synonyms_Had_AoAs
aardvark	8.5	9.89	False
abacus	8.69	8.69	True
accordion	8.61	11.38	False
acorn	5.95	5.95	True
air conditioner	nan	nan	False
air mattress	9.37	9.37	True
air pump	nan	nan	False
airbag	12.26	12.26	True
airboat	10.75	10.75	True
aircraft carrier	8.26	9.29	False
airplane	3.94	4.95	False
album	6.72	6.72	True
alligator	4.78	7.61	True
almond	7.67	7.67	True
aloe	8.95	8.95	True
alpaca	10.81	10.81	False
altar	7.16	7.16	True
aluminum foil	7.84	7.84	False
amber	9.28	9.28	True
ambulance	6.16	6.16	True
amplifier	11.35	11.35	True
anchor	5.72	5.72	False
ankle	4.89	4.89	False
anklet	9.06	9.06	False
ant	4.32	16.43	False
anteater	8.5	8.5	False
antelope	8.39	8.39	True
antenna	7.05	11.5	False
anvil	10.79	10.79	True
appetizer	7.35	9.06	False
apple	4.15	4.15	True
apple tree	nan	nan	False
applesauce	4.32	4.32	True
apron	6.75	6.75	True
aquarium	5.94	6.84	False
arch	8.26	8.26	True
arm	3.26	3.26	True
armor	7.17	7.17	False
arrow	6.07	6.07	True
artichoke	10.0	10.0	False
arugula	5.63	16.75	False
ashtray	5.95	5.95	True
asparagus	6.79	6.79	True
avocado	9.29	9.29	False
awning	11.06	11.06	False
axe	6.11	6.32	True
baby	3.84	6.61	True
backdrop	8.67	9.78	False
backgammon	10.0	10.0	True
backpack	5.38	14.3	False
backscratcher	6.63	6.63	True
bacon	5.0	5.0	True
badge	6.11	6.11	True
badger	8.74	8.74	True
bag	4.28	4.28	True
bagel	8.9	8.9	False
bagpipe	9.33	9.33	True
baklava	15.69	15.69	True
balance beam	8.78	8.78	False
ball	2.9	2.9	True
balloon	4.37	4.37	True
ballot box	nan	nan	False
bamboo	9.28	9.28	True
banana	3.78	3.78	True
banana peel	nan	nan	False
banana split	nan	nan	False
bandage	5.94	7.28	True
bandanna	8.59	8.59	False
banjo	8.44	8.44	True
bank	6.44	6.44	False
banner	7.11	9.17	True
barbed wire	7.21	8.4	True
barbell	11.17	11.17	True
barcode	nan	nan	False
bark	5.17	5.17	True
barnacle	11.6	11.6	False
barrel	4.63	7.72	True
barrette	6.71	6.71	True
baseball	4.83	4.83	True
baseball bat	7.33	7.33	False
baseball glove	4.3	6.83	False
basil	10.13	10.13	True
basket	5.67	5.67	False
basketball	5.3	5.3	True
basketball hoop	5.67	6.11	False
bassinet	9.18	9.18	True
bassoon	10.38	10.38	True
bat	4.85	4.85	False
bat	4.85	4.85	True
bathmat	5.83	5.83	True
bathrobe	7.9	7.9	True
bathtub	3.22	3.95	False
baton	6.39	7.94	True
baton	7.94	15.11	False
baton	7.94	7.94	True
baton	7.94	7.94	True
batter	7.05	7.05	True
battery	5.58	5.58	False
bazooka	10.53	10.53	True
beachball	4.95	4.95	True
bead	5.63	5.63	True
beaker	11.25	11.25	True
bean	3.42	3.42	True
beanbag	6.11	6.11	True
beanie	10.72	10.72	False
bear	3.58	3.58	True
beard	4.84	5.11	False
beaver	5.21	5.21	True
bed	2.89	2.89	True
bedpan	11.18	11.18	True
bedpost	6.62	6.62	True
bee	5.0	5.0	True
beehive	6.89	7.47	True
beer	6.11	6.11	True
beet	6.56	10.69	True
beetle	5.32	5.32	True
bell	3.89	3.89	True
bell pepper	nan	nan	False
belt	4.62	4.62	True
belt buckle	nan	nan	False
bench	4.21	4.21	True
berry	5.21	5.21	True
bib	4.53	4.53	True
bike	4.26	7.5	True
bikini	8.26	8.26	False
bin	4.68	4.68	True
binder	10.42	10.42	False
binoculars	6.79	6.79	False
bird	3.52	3.52	True
birdbath	5.95	5.95	True
birdcage	5.63	5.63	True
birdhouse	5.43	5.43	True
birthday cake	nan	nan	False
biscuit	4.63	4.63	True
bison	8.11	8.11	True
blackberry	8.95	8.95	True
blanket	3.61	5.42	True
blazer	9.6	9.6	False
blender	6.84	6.84	False
blimp	6.05	6.63	False
blind	5.84	7.0	True
blinder	8.42	8.89	False
blindfold	8.11	8.11	True
block	4.79	4.79	True
blouse	6.65	6.65	True
blower	8.32	8.32	True
blowfish	9.19	10.88	False
blowgun	10.89	11.82	False
blowtorch	7.84	9.94	False
blueberry	6.22	6.22	True
boa	9.56	9.56	False
boar	9.83	9.83	False
board	6.37	6.37	True
board game	nan	nan	False
boat	3.84	3.84	True
bobsled	6.16	9.38	True
bok choy	nan	nan	False
bolo tie	12.67	12.67	False
bologna	nan	nan	False
bolt	7.28	7.28	True
bomb	8.0	8.0	True
bone	5.53	5.53	False
bongo	8.4	8.4	False
bonnet	6.83	6.83	False
bonsai	11.22	11.22	True
book	3.68	3.68	True
bookmark	6.75	8.26	True
bookshelf	7.68	7.68	True
boomerang	9.79	9.79	False
boot	3.89	3.89	True
bottle	3.56	3.56	True
bottle opener	nan	nan	False
boulder	7.92	7.92	False
bouquet	8.56	16.8	True
bow	4.95	4.95	False
bow	4.95	4.95	True
bow	4.95	4.95	True
bowl	4.26	4.26	True
bowler hat	10.45	10.58	False
bowling ball	4.26	4.26	False
bowtie	7.94	7.94	True
box	4.3	4.3	True
boxer shorts	3.95	6.05	False
boxing gloves	4.3	7.83	True
boy	3.67	3.67	False
bra	8.21	11.0	False
brace	7.89	7.89	True
bracelet	5.68	8.0	False
bracelet	5.68	8.65	True
bracket	8.56	8.56	False
braid	6.46	13.0	True
brake	5.95	5.95	True
branch	5.11	5.11	True
brass knuckles	5.35	5.35	False
bread	3.58	3.58	False
breadbox	6.8	9.67	True
breadstick	nan	nan	False
breakfast	3.47	3.47	True
breathalyzer	14.85	14.85	False
brick	6.43	6.43	True
briefcase	6.37	6.37	True
broccoli	5.2	5.2	False
brooch	10.71	10.72	False
broom	5.5	5.5	True
brownie	4.8	4.8	True
brush	3.78	3.78	True
brussels sprouts	nan	nan	False
bubble	3.79	3.79	True
bubble wrap	nan	nan	False
bucket	5.61	6.16	True
buckle	6.42	6.42	True
buffet	7.58	7.58	True
bug	3.79	3.79	True
buggy	6.95	6.95	True
bull	4.53	4.53	True
bulldozer	5.61	9.06	True
bullet	6.0	6.7	True
bulletin board	nan	nan	False
bulletproof vest	nan	nan	False
bumper	7.32	7.32	True
bun	5.79	5.79	True
bungee	11.16	11.16	False
bunkbed	5.62	6.48	True
buoy	9.76	9.76	True
burner	8.0	8.0	True
burrito	9.37	9.37	True
bus	3.85	14.8	False
bush	4.9	8.06	True
butter	5.78	5.78	True
butterfly	3.67	3.67	True
button	4.78	4.78	True
button	4.26	8.5	True
cabbage	5.78	5.78	False
cabinet	6.06	6.06	True
cable	4.85	9.2	False
cactus	6.72	6.72	True
cage	5.06	8.25	True
cake	3.26	3.26	True
cake mix	nan	nan	False
calamari	7.32	13.16	False
calculator	8.22	8.22	False
calf	6.63	6.63	True
calf	6.63	6.63	False
calzone	12.72	12.72	False
camcorder	11.65	11.65	True
camel	5.11	5.11	True
camera lens	nan	nan	False
camera	6.0	6.0	False
camera	6.0	6.0	False
camper	6.67	6.67	False
can	4.32	6.79	False
can opener	6.96	6.96	False
candelabra	12.18	12.18	False
candle	5.37	10.7	False
candlestick	5.61	7.78	True
candy	4.0	4.0	False
candy bar	nan	nan	False
candy cane	nan	nan	False
cane	5.74	5.74	True
canister	6.79	8.83	False
cannon	7.9	7.9	True
cannonball	6.39	6.39	False
canoe	6.63	6.63	True
